index,DATE_TIME,TIME_EPOCH,VOLTAGE,CURRENT,TEMP_SENSOR1,TEMP_SENSOR2,TEMP_SENSOR3,TEMP_SENSOR4,TEMP_SENSOR5,HEATER1_STATUS,HEATER2_STATUS,HEATER3_STATUS,HEATER4_STATUS,HEATER5_STATUS
129,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,1.0,1.0,0.0,,      
130,2021-08-26 17:46:40,1630000000000.0,219.51999999999998,12.13,,,,,,,,,,      
131,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
132,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,1.0,0
133,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
134,2021-08-26 17:46:40,1630000000000.0,219.51999999999998,12.13,,,,,,,,,,      
135,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
136,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
137,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,13.75,,,,,,      
138,2021-08-26 17:46:40,1630000000000.0,219.51999999999998,12.13,,,,,,,,,,      
139,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
140,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
141,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
142,2021-08-26 17:46:40,1630000000000.0,219.44,12.13,20.95,,,,,,,,,      
143,2021-08-26 17:46:40,1630000000000.0,,12.13,,,25.0,,,,,,,      
144,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
145,2021-08-26 17:46:40,1630000000000.0,,12.64,,,,,,,,,,      
146,2021-08-26 17:46:40,1630000000000.0,219.51999999999998,12.64,,,,,,,,,,      
147,2021-08-26 17:46:40,1630000000000.0,,12.64,,,,,,,,,,      
148,2021-08-26 17:46:40,1630000000000.0,,12.64,,,,,,,,,,      
149,2021-08-26 17:46:40,1630000000000.0,,12.13,,,,,,,,,,      
150,2021-08-26 17:46:40,1630000000000.0,219.51999999999998,12.13,,,,,,,,,,      
