TIME,BAT_VOL_FINE_SEL_RT,LOAD_CUR_AMP,DER_RATE_YAW,DER_RATE_ROL,DER_RATE_PCH,IRU_BASE_M_TH_TEMP,EP04_IRU_HTR_M_HTR-1,EP04_IRU_HTR_M_HTR-1,LATCH_VALVE_2_ATC_R_,BD_SFLV_FLTR_R_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA-HINGE_-P+R_ATC_R,RRA_HNG_NP_PR_R_HTR-,RRA_HNG_NP_PR_R_HTR-,RRA-TOP-PLT_-P_ATC_M,RRA_TOPPLT_1M_HTR-20,RRA_TOPPLT_1M_HTR-20,RRA_DM2_ATC_M_TH_TEM,RRA_DRV_MD_2_M_HTR-1,RRA_DRV_MD_2_M_HTR-1,EP04_IRU_HTR_M_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA_HNG_NP_PR_R_HTR-,RRA_TOPPLT_1M_HTR-20,RRA_DRV_MD_2_M_HTR-1
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.9,0.0002,0.00039,-0.04004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,-0.00039,-0.00059,-0.03926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.64,0.0002,-0.00078,-0.03887,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,-0.0002,0.0002,-0.04024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.13,0.0002,-0.00039,-0.03984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.77,20.44,NaN,10,21,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.13,0.00059,-0.00117,-0.03906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.38,-0.00059,0.0002,-0.04043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,0.0002,-0.00059,-0.03965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.64,-0.00039,-0.00078,-0.03965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.64,-0.00039,0.00039,-0.03945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,39.97,12.38,-0.00039,0.00059,-0.03887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,-0.00059,0.00039,-0.03418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,OFF     ,ON      ,NaN,NaN      
1.63E+12,40.52,13.67,-0.00039,0.00039,-0.03438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.77,20.44,NaN,10,21,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.67,-0.00059,-0.0002,-0.03379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,OFF           
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.52,12.9,-0.00117,-0.00059,-0.03399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,0.00059,-0.00039,-0.03457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.52,12.9,0,-0.00078,-0.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,-0.0002,0.0002,-0.03379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.52,13.15,0.00078,-0.00039,-0.0332,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,-0.0002,0.0002,-0.03359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.56,12.9,0,0.00078,-0.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.77,20.44,NaN,10,21,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,-0.00078,0.00059,-0.03301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.52,13.15,-0.00059,0.0002,-0.03281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,-0.0002,0.00059,-0.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.52,12.9,-0.00117,0,-0.03242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,-0.00059,0,-0.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
